residue_mod_4096,minimal_k,support_size,support_primes
1875,11,3,"[5, 7, 11]"
1877,11,2,"[103, 607]"
1879,10,0,[]
1881,11,1,[19]
1883,11,0,[]
1885,11,0,[]
1887,11,5,"[5, 11, 59, 89, 499]"
1889,11,1,[29]
1891,11,0,[]
1893,11,1,[13]
1895,11,1,[59]
1897,11,1,[463]
1899,11,1,[41]
1901,11,2,"[19, 163]"
1903,11,2,"[73, 2843]"
1905,11,1,[281]
1907,11,2,"[5, 97]"
1909,11,1,[647]
1911,11,1,[23]
1913,11,1,[61]
1915,11,2,"[5, 11]"
1917,11,2,"[11, 227]"
1919,11,1,[61]
1921,11,2,"[19, 127]"
1923,11,1,[401]
1925,11,2,"[5, 139]"
1927,11,0,[]
1929,11,2,"[53, 463]"
1931,11,1,[7]
1933,11,3,"[5, 13, 31]"
1935,11,1,[7]
1937,11,1,[13]
1939,11,0,[]
1941,11,2,"[7, 127]"
1943,11,1,[17]
1945,11,2,"[11, 13]"
1947,11,1,[499]
1949,11,1,[3659]
1951,11,0,[]
1953,11,2,"[41, 107]"
1955,11,0,[]
1957,11,1,[7]
1959,10,0,[]
1961,11,0,[]
1963,11,1,[131]
1965,11,2,"[13, 43]"
1967,11,0,[]
1969,11,1,[17]
1971,11,1,[13]
1973,11,3,"[7, 47, 73]"
1975,11,3,"[5, 7, 1549]"
1977,10,0,[]
1979,11,2,"[5, 7]"
1981,11,1,[191]
1983,11,0,[]
1985,11,1,[7]
1987,11,1,[7]
1989,11,2,"[79, 2357]"
1991,11,3,"[5, 7, 3181]"
1993,11,2,"[5, 53]"
1995,11,2,"[5, 263]"
1997,11,3,"[47, 167, 197]"
1999,10,0,[]
2001,11,2,"[67, 79]"
2003,11,0,[]
2005,11,3,"[7, 53, 347]"
2007,11,3,"[7, 17, 73]"
2009,11,3,"[17, 31, 353]"
2011,11,0,[]
2013,11,1,[5]
2015,11,1,[17]
2017,11,0,[]
2019,11,1,[7]
2021,11,1,[7]
2023,11,2,"[13, 23]"
2025,11,0,[]
2027,11,1,[23]
2029,11,1,[19]
2031,11,0,[]
2033,11,1,[167]
2035,11,0,[]
2037,11,0,[]
2039,11,3,"[5, 31, 113]"
2041,10,0,[]
2043,11,0,[]
2045,11,3,"[7, 41, 773]"
2047,11,1,[7]
